+-----------------------------------------------+------------------------------------+
| Variable_name                                 | Value                              |
+-----------------------------------------------+------------------------------------+
| Aborted_clients                               | 0                                  |
| Aborted_connects                              | 0                                  |
| Binlog_cache_disk_use                         | 10                                 |
| Binlog_cache_use                              | 20                                 |
| Binlog_stmt_cache_disk_use                    | 1                                  |
| Binlog_stmt_cache_use                         | 128                                |
| Bytes_received                                | 3409964                            |
| Bytes_sent                                    | 42529191                           |
| Com_admin_commands                            | 3                                  |
| Com_assign_to_keycache                        | 0                                  |
| Com_alter_db                                  | 0                                  |
| Com_alter_db_upgrade                          | 0                                  |
| Com_alter_event                               | 0                                  |
| Com_alter_function                            | 0                                  |
| Com_alter_instance                            | 0                                  |
| Com_alter_procedure                           | 0                                  |
| Com_alter_server                              | 0                                  |
| Com_alter_table                               | 32                                 |
| Com_alter_tablespace                          | 0                                  |
| Com_alter_user                                | 0                                  |
| Com_analyze                                   | 1                                  |
| Com_begin                                     | 0                                  |
| Com_binlog                                    | 0                                  |
| Com_call_procedure                            | 0                                  |
| Com_change_db                                 | 2                                  |
| Com_change_master                             | 0                                  |
| Com_change_repl_filter                        | 0                                  |
| Com_check                                     | 0                                  |
| Com_checksum                                  | 1                                  |
| Com_commit                                    | 1                                  |
| Com_create_db                                 | 3                                  |
| Com_create_event                              | 0                                  |
| Com_create_function                           | 0                                  |
| Com_create_index                              | 0                                  |
| Com_create_procedure                          | 0                                  |
| Com_create_server                             | 0                                  |
| Com_create_table                              | 50                                 |
| Com_create_trigger                            | 3                                  |
| Com_create_udf                                | 0                                  |
| Com_create_user                               | 0                                  |
| Com_create_view                               | 7                                  |
| Com_dealloc_sql                               | 0                                  |
| Com_delete                                    | 0                                  |
| Com_delete_multi                              | 0                                  |
| Com_do                                        | 0                                  |
| Com_drop_db                                   | 1                                  |
| Com_drop_event                                | 0                                  |
| Com_drop_function                             | 0                                  |
| Com_drop_index                                | 0                                  |
| Com_drop_procedure                            | 0                                  |
