+---------------------------------+-------------------------------------------------------------------------------------------+
| Variable_name                   | Value                                                                                     |
+---------------------------------+-------------------------------------------------------------------------------------------+
| auto_increment_increment        | 1                                                                                         | 
| auto_increment_offset           | 1                                                                                         | 
| autocommit                      | ON                                                                                        | 
| automatic_sp_privileges         | ON                                                                                        | 
| back_log                        | 50                                                                                        | 
| basedir                         | /home/daniel/mysql_binaries/mysql-5.1.34-linux-x86_64-glibc23/                            | 
| big_tables                      | OFF                                                                                       | 
| binlog_cache_size               | 32768                                                                                     | 
| binlog_format                   | STATEMENT                                                                                 | 
| bulk_insert_buffer_size         | 8388608                                                                                   | 
| character_set_client            | latin1                                                                                    | 
| character_set_connection        | latin1                                                                                    | 
| character_set_database          | latin1                                                                                    | 
| character_set_filesystem        | binary                                                                                    | 
| character_set_results           | latin1                                                                                    | 
| character_set_server            | latin1                                                                                    | 
| character_set_system            | utf8                                                                                      | 
| character_sets_dir              | /home/daniel/mysql_binaries/mysql-5.1.34-linux-x86_64-glibc23/share/charsets/             | 
| collation_connection            | latin1_swedish_ci                                                                         | 
| collation_database              | latin1_swedish_ci                                                                         | 
| collation_server                | latin1_swedish_ci                                                                         | 
| completion_type                 | 0                                                                                         | 
| concurrent_insert               | 1                                                                                         | 
| connect_timeout                 | 10                                                                                        | 
| datadir                         | /tmp/12345/data/                                                                          | 
| date_format                     | %Y-%m-%d                                                                                  | 
| datetime_format                 | %Y-%m-%d %H:%i:%s                                                                         | 
| default_week_format             | 0                                                                                         | 
| delay_key_write                 | ON                                                                                        | 
| delayed_insert_limit            | 100                                                                                       | 
| delayed_insert_timeout          | 300                                                                                       | 
| delayed_queue_size              | 1000                                                                                      | 
| div_precision_increment         | 4                                                                                         | 
| engine_condition_pushdown       | ON                                                                                        | 
| error_count                     | 0                                                                                         | 
| event_scheduler                 | OFF                                                                                       | 
| expire_logs_days                | 0                                                                                         | 
| flush                           | OFF                                                                                       | 
| flush_time                      | 0                                                                                         | 
| foreign_key_checks              | ON                                                                                        | 
| ft_boolean_syntax               | + -><()~*:""&|                                                                            | 
| ft_max_word_len                 | 84                                                                                        | 
| ft_min_word_len                 | 4                                                                                         | 
| ft_query_expansion_limit        | 20                                                                                        | 
| ft_stopword_file                | (built-in)                                                                                | 
| general_log                     | OFF                                                                                       | 
| general_log_file                | /tmp/12345/data/mysql_sandbox12345.log                                                    | 
| group_concat_max_len            | 1024                                                                                      | 
| have_community_features         | YES                                                                                       | 
| have_compress                   | YES                                                                                       | 
