#ts   device      rd_s rd_avkb rd_mb_s rd_mrg rd_cnc rd_rt  wr_s wr_avkb wr_mb_s wr_mrg wr_cnc wr_rt busy in_prg
{279} ram0         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram1         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram2         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram3         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram4         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram5         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram6         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram7         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram8         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram9         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram10        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram11        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram12        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram13        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram14        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} ram15        0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda          0.0     0.0     0.0 47%       0.0   4.0   3.7     0.0     0.0 64%       0.0   0.2 0%        0
{279} sda1         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda2         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda3         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda4         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda5         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sda6         0.0     0.0     0.0 47%       0.0   4.0   3.7     0.0     0.0 64%       0.0   0.2 0%        0
{279} sdb          0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sdb1         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sdc        749.2    16.0    11.7 1%        1.0   1.3 261.4    15.8     4.0 0%        0.2   0.6 98%       0
{279} sdc1       749.2    16.0    11.7 1%        1.0   1.3 261.4    15.8     4.0 0%        0.2   0.6 98%       0
{279} dm-0         0.0     0.0     0.0 0%        0.0   0.0   2.4     4.0     0.0 0%        0.0   0.0 0%        0
{279} dm-1         0.0     4.0     0.0 0%        0.0   4.0   2.1     4.0     0.0 0%        0.0   0.4 0%        0
{279} dm-2         0.0     0.0     0.0 0%        0.0   0.0   0.1     4.0     0.0 0%        0.0   0.1 0%        0
{279} dm-3         0.0     0.0     0.0 0%        0.0   0.0   3.3     4.0     0.0 0%        0.0   0.0 0%        0
{279} dm-4         0.1    10.6     0.0 0%        0.0   3.9   1.9     4.0     0.0 0%        0.0   0.1 0%        0
{279} dm-5         0.0     0.0     0.0 0%        0.0   0.0   0.2     4.0     0.0 0%        0.0   0.3 0%        0
{279} dm-6         0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sr0          0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sdd          0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} sr1          0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} md0          0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} emcpowera    0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} emcpowera1   0.0     0.0     0.0 0%        0.0   0.0   0.0     0.0     0.0 0%        0.0   0.0 0%        0
{279} dm-7       755.0    15.9    11.7 0%        1.0   1.3 261.7    15.8     4.0 0%        0.2   0.6 98%       0
